LebwohlLasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.537, Time: 15.852029 s
         3667856 function calls (3651549 primitive calls) in 16.568 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    0.000    0.000    0.002    0.000 colors.py:418(to_rgba_array)
        1    0.000    0.000    0.002    0.002 secrets.py:1(<module>)
       14    0.000    0.000    0.002    0.000 typing.py:1291(__ror__)
      541    0.000    0.000    0.002    0.000 __init__.py:164(match)
      329    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
       28    0.000    0.000    0.002    0.000 _docstring.py:79(<genexpr>)
       89    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
        6    0.000    0.000    0.002    0.000 getlimits.py:34(__init__)
     9014    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      696    0.001    0.000    0.001    0.000 shape_base.py:209(_arrays_for_stack_dispatcher)
        2    0.000    0.000    0.001    0.001 core.py:6071(srange)
        1    0.000    0.000    0.001    0.001 expat.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
     12/6    0.000    0.000    0.001    0.000 functools.py:979(__get__)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.001    0.001 ExifTags.py:21(Base)
        6    0.000    0.000    0.001    0.000 core.py:3127(re_match)
        6    0.000    0.000    0.001    0.000 core.py:3106(re)
      694    0.001    0.000    0.001    0.000 inspect.py:176(get_annotations)
      680    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
        1    0.000    0.000    0.001    0.001 inset.py:1(<module>)
     7305    0.001    0.000    0.001    0.000 enum.py:1123(__new__)
      790    0.001    0.000    0.001    0.000 inspect.py:754(unwrap)
        2    0.000    0.000    0.001    0.001 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 font_manager.py:1625(_load_fontmanager)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
      554    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
       12    0.000    0.000    0.001    0.000 dataclasses.py:449(_create_fn)
       64    0.000    0.000    0.001    0.000 core.py:1442(__add__)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
     6239    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      450    0.000    0.000    0.001    0.000 __init__.py:179(sub)
   274/19    0.000    0.000    0.001    0.000 ast.py:403(visit)
     5023    0.001    0.000    0.001    0.000 typing.py:1626(<genexpr>)
4550/1002    0.001    0.000    0.001    0.000 __init__.py:354(recursive_subclasses)
     7298    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
        3    0.000    0.000    0.001    0.000 _common.py:1(<module>)
     1130    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 core.py:390(ParserElement)
      161    0.000    0.000    0.001    0.000 inspect.py:3097(replace)
   274/19    0.000    0.000    0.001    0.000 ast.py:409(generic_visit)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      195    0.001    0.000    0.001    0.000 _shape_base_impl.py:633(column_stack)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
     2641    0.001    0.000    0.001    0.000 _parser.py:176(append)
      548    0.001    0.000    0.001    0.000 typing.py:1205(__getattr__)
       40    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
       14    0.000    0.000    0.001    0.000 core.py:113(doc_note)
